ID ACB,Nombre ACB,ID Eurocup,Nombre Eurocup,ID Euroleague,Nombre Euroleague,ID Saporta,Nombre Saporta,ID Copa del Rey,Nombre Copa del Rey
20212210,V. Jankovic,411,"JANKOVIC, VLADIMIR",,,,,,
20202164,P. Oriola,5917,"ORIOLA, PIERRE",,,,,20202164,P. Oriola
20212224,J. Bryant,,,,,,,,
20203882,J. Sastre,2936,"SASTRE, JOAN",2936,"SASTRE, JOAN",,,20203882,J. Sastre
20211945,V. Kravtsov,139,"KRAVTSOV, VIACHESLAV",,,,,20211945,V. Kravtsov
20210392,J. Puerto,6643,"PUERTO, JOSEP",6643,"PUERTO, JOSEP",,,20210392,J. Puerto
20212399,M. Tobey,8966,"TOBEY, MIKE",8966,"TOBEY, MIKE",,,20212399,M. Tobey
20210223,T. Pleiss,,,LHK,"PLEISS, TIBOR",,,20210223,T. Pleiss
20212412,E. Green II,,,5159,"GREEN, ERICK",,,20212412,E. Green II
20212189,A. Doornekamp,2763,"DOORNEKAMP, AARON",2763,"DOORNEKAMP, AARON",,,20212189,A. Doornekamp
20212461,T. Hlinason,,,8041,"HLINASON, TRYGGVI",,,,
20210088,A. Abalde,3733,"ABALDE, ALBERTO",3733,"ABALDE, ALBERTO",,,20210088,A. Abalde
20210267,D. Rudez,,,JZH,"RUDEZ, DAMJAN",,,,
20200209,L. Ferrando,7636,"FERRANDO, LUIS",7636,"FERRANDO, LUIS",,,,
20212235,E. Savic,7408,"SAVIC, EMIL",,,,,,
20210685,S. García,5458,"GARCIA, SERGI",5458,"GARCIA, SERGI",,,20210685,S. García
20210994,A. Vera,,,,,,,,
20209863,L. Williams,,,4259,"WILLIAMS, LATAVIOUS",,,,
20212213,I. Buva,,,,,,,,
20213002,L. Labeyrie,4884,"LABEYRIE, LOUIS",4884,"LABEYRIE, LOUIS",,,20213002,L. Labeyrie
20212430,M. Thomas,8967,"THOMAS, MATT",,,,,20212430,M. Thomas
20210993,I. Galarza,7637,"GALARZA, JON",,,,,,
